Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2020-10-13,121.08000183105469,121.97000122070312,120.55999755859375,121.05000305175781,116.93605041503906,13100,0.0
2020-10-14,121.33000183105469,121.71900177001953,119.36900329589844,119.97000122070312,115.89275360107422,37800,0.0
2020-10-15,118.02999877929688,119.27999877929688,117.78900146484375,119.10700225830078,115.05907440185547,30600,0.0
2020-10-16,119.9000015258789,120.41000366210938,118.5,118.5,114.47271728515625,51000,0.0
2020-10-19,119.83000183105469,119.83000183105469,116.23500061035156,116.44999694824219,112.49238586425781,50600,0.0
2020-10-20,116.91000366210938,118.08599853515625,116.29000091552734,116.88999938964844,112.91741943359375,49800,0.0
2020-10-21,116.94999694824219,118.0,116.66999816894531,117.04000091552734,113.06233215332031,28200,0.0
2020-10-22,117.11000061035156,117.3489990234375,115.45999908447266,116.72000122070312,112.7531967163086,24800,0.0
2020-10-23,116.98999786376953,117.0,115.80999755859375,117.0,113.02367401123047,40600,0.0
2020-10-26,116.01000213623047,116.9800033569336,113.8489990234375,115.18000030517578,111.26553344726562,74400,0.0
2020-10-27,115.62000274658203,116.44999694824219,115.13999938964844,116.08999633789062,112.14460754394531,46900,0.0
2020-10-28,114.27999877929688,114.27999877929688,111.5,111.69000244140625,107.8941421508789,138800,0.0
2020-10-29,112.16000366210938,114.66899871826172,112.0009994506836,113.51000213623047,109.65227508544922,79600,0.0
2020-10-30,112.69999694824219,113.01000213623047,109.69000244140625,110.86000061035156,107.09234619140625,130600,0.0
2020-11-02,111.6500015258789,112.23999786376953,109.69999694824219,110.9000015258789,107.1310043334961,74100,0.0
2020-11-03,111.70999908447266,113.62999725341797,111.30999755859375,113.43099975585938,109.57598114013672,61800,0.0
2020-11-04,116.44999694824219,118.552001953125,115.97000122070312,117.79000091552734,113.78682708740234,109700,0.0
2020-11-05,120.51000213623047,121.29900360107422,120.0199966430664,120.91999816894531,116.81046295166016,146500,0.0
2020-11-06,120.62999725341797,121.22000122070312,119.07499694824219,121.0,116.88776397705078,47100,0.0
2020-11-09,122.20999908447266,122.70999908447266,118.5,118.5,114.47271728515625,154000,0.0
2020-11-10,117.1500015258789,117.68000030517578,115.35099792480469,116.31700134277344,112.36388397216797,84200,0.0
2020-11-11,117.47000122070312,119.19999694824219,117.47000122070312,119.11000061035156,115.06196594238281,65800,0.0
2020-11-12,119.4800033569336,119.94000244140625,118.0,118.41999816894531,114.39542388916016,44900,0.0
2020-11-13,119.19000244140625,119.61799621582031,118.3030014038086,119.55000305175781,115.48701477050781,39900,0.0
2020-11-16,119.45999908447266,120.49099731445312,119.02999877929688,120.06999969482422,115.98931884765625,47000,0.0
2020-11-17,120.55999755859375,120.62999725341797,119.86000061035156,120.05999755859375,115.97966766357422,29000,0.0
2020-11-18,119.86000061035156,120.47000122070312,119.40799713134766,119.5479965209961,115.48509216308594,35200,0.0
2020-11-19,118.97000122070312,120.12999725341797,118.80999755859375,120.12999725341797,116.04730224609375,52700,0.0
2020-11-20,120.06999969482422,120.29900360107422,119.38999938964844,119.38999938964844,115.33245086669922,37000,0.0
2020-11-23,119.7699966430664,120.16999816894531,118.36000061035156,119.30000305175781,115.24552917480469,50500,0.0
2020-11-24,119.80000305175781,121.11000061035156,119.07499694824219,121.04000091552734,116.92638397216797,90900,0.0
2020-11-25,121.38999938964844,121.9489974975586,121.19200134277344,121.71900177001953,117.58230590820312,44200,0.0
2020-11-27,122.55000305175781,123.30000305175781,122.4219970703125,122.75,118.5782470703125,35500,0.0
2020-11-30,122.97000122070312,123.16000366210938,121.13999938964844,123.01000213623047,118.82941436767578,84000,0.0
2020-12-01,124.06999969482422,125.31999969482422,123.67900085449219,124.72000122070312,120.48133087158203,92800,0.0
2020-12-02,124.16000366210938,124.91999816894531,123.44000244140625,124.83999633789062,120.59723663330078,140900,0.0
2020-12-03,124.94999694824219,125.61299896240234,124.73999786376953,125.0199966430664,120.77111053466797,93200,0.0
2020-12-04,125.05000305175781,125.52999877929688,124.77999877929688,125.44999694824219,121.1865005493164,74300,0.0
2020-12-07,125.62000274658203,126.3290023803711,125.4800033569336,125.83000183105469,121.5535888671875,76700,0.0
2020-12-08,126.0199966430664,126.72000122070312,125.30899810791016,126.6050033569336,122.30224609375,54800,0.0
2020-12-09,126.58999633789062,126.62000274658203,123.36900329589844,123.8499984741211,119.64087677001953,148700,0.0
2020-12-10,122.94999694824219,124.66999816894531,122.44100189208984,124.26000213623047,120.03695678710938,128300,0.0
2020-12-11,123.55000305175781,124.0199966430664,122.61000061035156,123.97000122070312,119.75679779052734,54200,0.0
2020-12-14,124.54000091552734,125.69999694824219,124.54000091552734,124.88999938964844,120.64554595947266,184100,0.0
2020-12-15,125.88999938964844,126.2300033569336,125.0,126.2300033569336,121.93999481201172,64300,0.0
2020-12-16,126.44000244140625,127.23999786376953,125.9800033569336,126.91000366210938,122.59689331054688,84900,0.0
2020-12-17,127.62000274658203,127.78700256347656,127.0999984741211,127.76000213623047,123.41799926757812,57900,0.0
2020-12-18,128.11000061035156,128.11000061035156,126.37000274658203,127.43000030517578,123.09918975830078,84300,0.0
2020-12-21,126.12000274658203,127.06999969482422,124.79000091552734,126.88999938964844,122.77603149414062,85100,0.206
