Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2014-02-11,13196,13237,13186,13186,13186,1320,0.0
2014-02-12,13240,13343,13240,13343,13343,33769,0.0
2014-02-13,13357,13357,13316,13328,13328,1520,0.0
2014-02-14,13343,13424,13343,13388,13388,2179,0.0
2014-02-17,13431,13491,13309,13309,13309,3455,0.0
2014-02-18,13292,13347,13240,13323,13323,15680,0.0
2014-02-19,13320,13328,13278,13328,13328,1781,0.0
2014-02-20,13237,13237,13086,13086,13086,677,0.0
2014-02-21,13278,13278,13240,13240,13240,943,0.0
2014-02-24,13323,13323,13124,13124,13124,2767,0.0
2014-02-25,13219,13301,13214,13297,13297,95646,0.0
2014-02-26,13352,13427,13347,13406,13406,66764,0.0
2014-02-27,13431,13573,13406,13538,13538,40717,0.0
2014-02-28,13555,13618,13531,13560,13560,339593,0.0
2014-03-03,13416,13608,13397,13531,13531,331115,0.0
2014-03-04,13531,13591,13531,13591,13591,2611,0.0
2014-03-05,13713,13771,13672,13754,13754,68471,0.0
2014-03-06,13763,13776,13677,13749,13749,8136,0.0
2014-03-07,13749,13808,13608,13645,13645,35218,0.0
2014-03-10,13685,13685,13573,13573,13573,46736,0.0
2014-03-11,13560,13560,13551,13560,13560,2706,0.0
2014-03-12,13457,13457,13347,13347,13347,4168,0.0
2014-03-13,13421,13542,13416,13536,13536,5407,0.0
2014-03-14,13323,13472,13313,13361,13361,59128,0.0
2014-03-17,13352,13352,13268,13278,13278,53832,0.0
2014-03-18,13427,13504,13424,13491,13491,5485,0.0
2014-03-19,13508,13573,13482,13538,13538,12056,0.0
2014-03-20,13538,13538,13443,13462,13462,3130,0.0
2014-03-21,13522,13631,13513,13631,13631,1264,0.0
2014-03-24,13631,13708,13586,13663,13663,5325,0.0
2014-03-25,13536,13536,13462,13495,13495,2977,0.0
2014-03-26,13560,13591,13439,13555,13555,2931,0.0
2014-03-27,13513,13542,13457,13531,13531,14271,0.0
2014-03-28,13518,13581,13486,13581,13581,24811,0.0
2014-03-31,13560,13560,13486,13508,13508,4211,0.0
2014-04-01,13538,13672,13526,13672,13672,34085,0.0
2014-04-02,13771,13831,13698,13831,13831,84419,0.0
2014-04-03,13785,13887,13758,13794,13794,20981,0.0
2014-04-04,13794,13817,13776,13780,13780,6395,0.0
2014-04-07,13754,13754,13563,13645,13645,25333,0.0
2014-04-08,13618,13658,13586,13658,13658,2617,0.0
2014-04-09,13698,13723,13685,13703,13703,2696,0.0
2014-04-10,13803,13822,13739,13754,13754,105130,0.0
2014-04-11,13560,13627,13522,13560,13560,3957,0.0
2014-04-14,13586,13744,13573,13730,13730,6624,0.0
2014-04-15,13734,13734,13645,13645,13645,3088,0.0
2014-04-16,13658,13890,13658,13869,13869,7422,0.0
2014-04-17,13890,13890,13723,13758,13758,23471,0.0
2014-04-18,13890,13991,13878,13910,13910,7181,0.0
2014-04-21,13960,14013,13874,14013,14013,9024,0.0
2014-04-22,14009,14186,14009,14186,14186,3212,0.0
2014-04-23,14240,14244,14165,14169,14169,1937,0.0
2014-04-24,14191,14191,14093,14116,14116,6292,0.0
2014-04-25,14191,14191,13955,13970,13970,6086,0.0
2014-04-28,13900,13910,13826,13910,13910,17929,0.0
2014-04-29,13753,13840,13671,13712,13712,157232,0.0
2014-04-30,13831,13831,13617,13630,13630,6508,0.0
2014-05-02,13785,13835,13707,13762,13762,156459,0.0
2014-05-07,13762,13762,13612,13653,13653,39924,0.0
2014-05-08,13667,13681,13537,13537,13537,9104,0.0
2014-05-09,13599,13599,13530,13530,13530,1973,0.0
2014-05-12,13702,13707,13702,13707,13707,18111,0.0
