Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2023-12-12,9850,9855,9845,9855,9855,62498,0.0
2023-12-13,9855,9855,9840,9850,9850,65629,0.0
2023-12-14,9924,9924,9889,9909,9909,7567,0.0
2023-12-15,9889,9889,9870,9879,9879,36481,0.0
2023-12-18,9889,9889,9874,9884,9884,6811,0.0
2023-12-19,9879,9879,9874,9879,9879,9748,0.0
2023-12-20,9874,9884,9874,9884,9884,8200,0.0
2023-12-21,9889,9894,9884,9889,9889,27807,0.0
2023-12-22,9889,9894,9889,9894,9894,25208,0.0
2023-12-26,9894,9894,9889,9894,9894,29541,0.0
2023-12-27,9894,9899,9889,9899,9899,7773,0.0
2023-12-28,9899,9904,9899,9904,9904,9782,0.0
2024-01-02,9909,9909,9894,9904,9904,33220,0.0
2024-01-03,9899,9899,9889,9894,9894,21493,0.0
2024-01-04,9894,9894,9879,9894,9894,14054,0.0
2024-01-05,9894,9894,9884,9894,9894,6935,0.0
2024-01-08,9889,9894,9884,9894,9894,12744,0.0
2024-01-09,9894,9894,9884,9889,9889,4901,0.0
2024-01-10,9889,9894,9889,9889,9889,5316,0.0
2024-01-11,9889,9899,9889,9899,9899,14252,0.0
2024-01-12,9904,9909,9899,9899,9899,5622,0.0
2024-01-15,9904,9914,9904,9914,9914,14103,0.0
2024-01-16,9909,9909,9899,9904,9904,10189,0.0
2024-01-17,9899,9904,9894,9904,9904,4007,0.0
2024-01-18,9884,9894,9884,9894,9894,1387,0.0
2024-01-19,9899,9899,9889,9894,9894,24981,0.0
2024-01-22,9899,9899,9894,9899,9899,5465,0.0
2024-01-23,9894,9899,9894,9899,9899,2287,0.0
2024-01-24,9899,9899,9894,9899,9899,1850,0.0
2024-01-25,9889,9899,9889,9894,9894,2279,0.0
2024-01-26,9899,9909,9899,9904,9904,3822,0.0
2024-01-29,9904,9909,9894,9899,9899,21396,0.0
2024-01-30,9899,9914,9899,9914,9914,21849,0.0
2024-01-31,9904,9919,9904,9919,9919,8353,0.0
2024-02-01,9914,9924,9914,9919,9919,13032,0.0
2024-02-02,9919,9924,9914,9919,9919,26733,0.0
2024-02-05,9933,9933,9879,9919,9919,82742,0.0
2024-02-06,9919,9924,9914,9924,9924,61825,0.0
2024-02-07,9928,9933,9924,9933,9933,30417,0.0
2024-02-08,9933,9933,9928,9933,9933,5479,0.0
2024-02-13,9938,9938,9928,9928,9928,5941,0.0
2024-02-14,9919,9928,9919,9928,9928,16396,0.0
2024-02-15,9924,9928,9919,9924,9924,11364,0.0
2024-02-16,9924,9928,9924,9928,9928,1521,0.0
2024-02-19,9928,9928,9924,9928,9928,487,0.0
2024-02-20,9928,9933,9928,9933,9933,7246,0.0
2024-02-21,9933,9938,9928,9933,9933,1471,0.0
2024-02-22,9933,9948,9933,9948,9948,15957,0.0
2024-02-23,9953,9958,9953,9958,9958,17417,0.0
2024-02-26,9958,9963,9958,9963,9963,7221,0.0
2024-02-27,9963,9963,9953,9963,9963,5513,0.0
2024-02-28,9963,9963,9953,9963,9963,17089,0.0
2024-02-29,9958,9963,9958,9963,9963,10280,0.0
2024-03-04,9958,9963,9953,9963,9963,13833,0.0
2024-03-05,9963,9968,9963,9968,9968,12780,0.0
2024-03-06,9968,9968,9963,9968,9968,6665,0.0
2024-03-07,9973,9978,9968,9978,9978,13473,0.0
2024-03-08,9982,9982,9978,9982,9982,8626,0.0
2024-03-11,9987,9992,9987,9992,9992,7399,0.0
2024-03-12,9992,9992,9978,9992,9992,15574,0.0
2024-03-13,9992,9992,9982,9987,9987,19418,0.0
2024-03-14,9987,9992,9982,9982,9982,25900,0.0
2024-03-15,9987,9987,9982,9987,9987,9703,0.0
2024-03-18,9987,9987,9978,9982,9982,3088,0.0
2024-03-19,9978,9982,9973,9978,9978,6554,0.0
2024-03-20,9973,9978,9968,9973,9973,7249,0.0
2024-03-21,9982,9992,9982,9992,9992,16797,0.0
2024-03-22,9992,9997,9992,9997,9997,2742,0.0
2024-03-25,10002,10007,9997,10007,10007,5685,0.0
2024-03-26,10007,10012,10002,10012,10012,5200,0.0
2024-03-27,10012,10012,10002,10012,10012,2526,0.0
2024-03-28,10012,10017,10012,10017,10017,23146,0.0
2024-03-29,10012,10017,10002,10017,10017,3062,0.0
2024-04-01,10012,10017,10012,10017,10017,12109,0.0
2024-04-02,10017,10017,10007,10017,10017,9219,0.0
2024-04-03,10012,10017,10012,10017,10017,5242,0.0
2024-04-04,10017,10022,10012,10017,10017,3111,0.0
2024-04-05,10027,10027,10017,10027,10027,1690,0.0
2024-04-08,10022,10022,10017,10017,10017,12281,0.0
2024-04-09,10012,10022,10012,10017,10017,5292,0.0
2024-04-11,10007,10012,10002,10007,10007,1124,0.0
2024-04-12,10012,10017,10002,10007,10007,34681,0.0
2024-04-15,10017,10027,10017,10022,10022,8699,0.0
2024-04-16,10027,10027,10012,10022,10022,658,0.0
2024-04-17,10012,10022,10012,10017,10017,199,0.0
2024-04-18,10022,10032,10022,10027,10027,2734,0.0
2024-04-19,10036,10036,10027,10027,10027,2667,0.0
2024-04-22,10027,10032,10017,10027,10027,3808,0.0
2024-04-23,10032,10032,10022,10032,10032,5837,0.0
2024-04-24,10032,10032,10027,10032,10032,5616,0.0
2024-04-25,10032,10032,10027,10032,10032,838,0.0
2024-04-26,10027,10027,10012,10022,10022,10812,0.0
2024-04-29,10022,10027,10017,10022,10022,723,0.0
2024-04-30,10027,10032,10022,10027,10027,3746,0.0
2024-05-02,10027,10036,10027,10036,10036,3967,0.0
