Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2022-10-18,10007,10052,9850,10053,10053,285101,0.0
2022-10-19,10076,10170,9974,10004,10004,312408,0.0
2022-10-20,10012,10046,9796,9886,9886,75462,0.0
2022-10-21,9825,9913,9771,9836,9836,214435,0.0
2022-10-24,9988,10077,9935,9955,9955,242618,0.0
2022-10-25,9968,10022,9915,9965,9965,256912,0.0
2022-10-26,10012,10022,9910,9965,9965,254513,0.0
2022-10-27,10022,10171,10022,10171,10171,292124,0.0
2022-10-28,10110,10160,10022,10053,10053,260420,0.0
2022-10-31,10130,10130,9968,10088,10088,225593,0.0
2022-11-01,10126,10368,10111,10368,10368,274936,0.0
2022-11-02,10322,10322,10170,10230,10230,250805,0.0
2022-11-03,10022,10282,10022,10250,10250,219230,0.0
2022-11-04,10234,10322,10204,10289,10289,199629,0.0
2022-11-07,10341,10375,10253,10308,10308,221956,0.0
2022-11-08,10366,10495,10307,10495,10495,25854,0.0
2022-11-09,10548,10625,10493,10618,10618,233904,0.0
2022-11-10,10525,10692,10495,10550,10550,253125,0.0
2022-11-11,10950,10950,10808,10913,10913,229239,0.0
2022-11-14,10946,10975,10819,10820,10820,118734,0.0
2022-11-15,10878,10918,10818,10918,10918,131082,0.0
2022-11-16,10941,10959,10768,10947,10947,41643,0.0
2022-11-17,10946,10946,10809,10810,10810,120186,0.0
2022-11-18,10809,10956,10809,10854,10854,23303,0.0
2022-11-21,10862,10862,10676,10711,10711,26387,0.0
2022-11-22,10711,10788,10691,10736,10736,44063,0.0
2022-11-23,10774,10819,10745,10820,10820,3035,0.0
2022-11-24,10892,10971,10862,10972,10972,7061,0.0
2022-11-25,10995,10995,10888,10918,10918,3924,0.0
2022-11-28,10867,10867,10701,10711,10711,8627,0.0
2022-11-29,10700,10817,10695,10790,10790,10608,0.0
2022-11-30,10795,10850,10711,10850,10850,7242,0.0
2022-12-01,10995,11035,10893,10893,10893,8573,0.0
2022-12-02,10892,10892,10754,10755,10755,9385,0.0
2022-12-05,10763,10818,10681,10726,10726,6659,0.0
2022-12-06,10637,10657,10520,10550,10550,11862,0.0
2022-12-07,10513,10553,10455,10505,10505,2792,0.0
2022-12-08,10523,10523,10371,10416,10416,5281,0.0
2022-12-09,10508,10513,10380,10421,10421,3461,0.0
2022-12-12,10385,10405,10333,10343,10343,5352,0.0
2022-12-13,10455,10475,10318,10343,10343,18170,0.0
2022-12-14,10391,10582,10391,10550,10550,2484,0.0
2022-12-15,10529,10598,10441,10476,10476,5206,0.0
2022-12-16,10288,10410,10283,10373,10373,12087,0.0
2022-12-19,10356,10405,10273,10333,10333,3365,0.0
2022-12-20,10332,10367,10185,10250,10250,8945,0.0
2022-12-21,10272,10272,10180,10200,10200,518,0.0
2022-12-22,10284,10302,10254,10289,10289,30271,0.0
2022-12-23,10170,10170,10082,10083,10083,6842,0.0
2022-12-26,10082,10140,10042,10117,10117,2965,0.0
2022-12-27,10208,10218,10121,10171,10171,4613,0.0
2022-12-28,10161,10253,10156,10181,10181,1160,0.0
2022-12-29,10130,10169,9978,10018,10018,5518,0.0
2023-01-02,10042,10130,9880,9925,9925,4122,0.0
2023-01-03,10007,10050,9824,10008,10008,4684,0.0
2023-01-04,9993,10141,9924,10141,10141,261,0.0
2023-01-05,10194,10267,10032,10073,10073,2261,0.0
2023-01-06,9983,10228,9983,10146,10146,4269,0.0
2023-01-09,10380,10513,10322,10495,10495,1670,0.0
2023-01-10,10590,10650,10463,10583,10583,6574,0.0
2023-01-11,10676,10744,10592,10741,10741,3810,0.0
2023-01-12,10892,10892,10764,10790,10790,7027,0.0
2023-01-13,10827,10842,10740,10780,10780,5345,0.0
2023-01-16,10872,10872,10774,10775,10775,1619,0.0
2023-01-17,10784,10829,10687,10687,10687,7440,0.0
2023-01-18,10774,10774,10632,10702,10702,10691,0.0
2023-01-19,10661,10739,10661,10721,10721,2682,0.0
2023-01-20,10740,10819,10661,10820,10820,1219,0.0
2023-01-25,11004,11004,10862,10977,10977,7251,0.0
2023-01-26,11045,11122,11005,11100,11100,13505,0.0
2023-01-27,11208,11251,11148,11243,11243,5085,0.0
2023-01-30,11309,11309,11118,11144,11144,10362,0.0
2023-01-31,11142,11240,11053,11183,11183,3788,0.0
2023-02-01,11329,11329,11212,11267,11267,8758,0.0
2023-02-02,11365,11463,11335,11405,11405,12426,0.0
2023-02-03,11397,11412,11300,11380,11380,4207,0.0
2023-02-06,11320,11350,11223,11223,11223,7367,0.0
2023-02-07,11250,11332,11220,11320,11320,14534,0.0
2023-02-08,11413,11482,11398,11483,11483,8482,0.0
2023-02-09,11398,11554,11398,11552,11552,11269,0.0
2023-02-10,11549,11549,11486,11522,11522,5937,0.0
2023-02-13,11524,11564,11402,11487,11487,27754,0.0
2023-02-14,11541,11639,11541,11636,11636,7444,0.0
2023-02-15,11649,11649,11329,11380,11380,30047,0.0
2023-02-16,11496,11629,11486,11621,11621,6673,0.0
2023-02-17,11524,11599,11467,11512,11512,7143,0.0
2023-02-20,11524,11549,11328,11492,11492,4858,0.0
2023-02-21,11549,11564,11452,11492,11492,3156,0.0
2023-02-22,11420,11532,11350,11430,11430,4820,0.0
2023-02-23,11495,11495,11300,11468,11468,3355,0.0
2023-02-24,11505,11520,11339,11340,11340,2364,0.0
2023-02-27,11275,11377,11240,11375,11375,2935,0.0
2023-02-28,11398,11535,11398,11483,11483,1704,0.0
2023-03-02,11540,11624,11463,11463,11463,1582,0.0
2023-03-03,11556,11659,11556,11577,11577,7433,0.0
2023-03-06,11792,11831,11687,11832,11832,6852,0.0
2023-03-07,11841,11895,11798,11803,11803,5221,0.0
2023-03-08,11776,11791,11629,11689,11689,3667,0.0
2023-03-09,11752,11752,11560,11665,11665,4515,0.0
2023-03-10,11506,11586,11439,11444,11444,9476,0.0
2023-03-13,11428,11428,11212,11400,11400,8350,0.0
2023-03-14,11443,11443,11065,11095,11095,6037,0.0
2023-03-15,11300,11364,11242,11277,11277,2225,0.0
2023-03-16,11275,11407,11166,11350,11350,11363,0.0
2023-03-17,11506,11506,11379,11439,11439,4918,0.0
2023-03-20,11415,11517,11400,11420,11420,2800,0.0
2023-03-21,11418,11490,11403,11458,11458,3122,0.0
2023-03-22,11559,11559,11407,11537,11537,7485,0.0
2023-03-23,11457,11594,11457,11532,11532,5406,0.0
2023-03-24,11594,11594,11511,11567,11567,11932,0.0
2023-03-27,11703,11703,11521,11596,11596,2099,0.0
2023-03-28,11609,11741,11609,11724,11724,4569,0.0
2023-03-29,11722,11852,11717,11852,11852,7291,0.0
2023-03-30,11927,12064,11927,12057,12057,4285,0.0
2023-03-31,12121,12199,12121,12176,12176,3460,0.0
2023-04-03,12273,12273,12146,12176,12176,10865,0.0
2023-04-04,12227,12252,12018,12038,12038,22510,0.0
2023-04-05,12075,12233,12075,12234,12234,2384,0.0
2023-04-06,12189,12189,12022,12052,12052,6174,0.0
2023-04-07,12224,12353,12185,12353,12353,22681,0.0
2023-04-10,12406,12448,12286,12421,12421,9175,0.0
2023-04-11,12480,12584,12368,12585,12585,18450,0.0
2023-04-12,12597,12621,12429,12495,12495,10436,0.0
2023-04-13,12415,12524,12313,12525,12525,24756,0.0
2023-04-14,12647,12647,12525,12580,12580,13043,0.0
2023-04-17,12587,12676,12508,12677,12677,13628,0.0
2023-04-18,12724,12724,12547,12667,12667,24101,0.0
2023-04-19,12664,12699,12621,12642,12642,15281,0.0
2023-04-20,12597,12597,12405,12480,12480,15330,0.0
2023-04-21,12484,12484,12263,12333,12333,9973,0.0
2023-04-24,12288,12288,12116,12211,12211,16865,0.0
2023-04-25,12266,12301,11957,12077,12077,24893,0.0
2023-04-26,12075,12170,12008,12043,12043,5882,0.0
2023-04-27,12013,12136,11924,12113,12113,6155,0.0
2023-04-28,12261,12261,11965,12010,12010,9511,0.0
2023-05-02,12037,12172,12037,12172,12172,5712,0.0
2023-05-03,12023,12121,12008,12028,12028,11161,0.0
2023-05-04,11970,12028,11920,12010,12010,8038,0.0
2023-05-08,12061,12111,12008,12048,12048,3853,0.0
2023-05-09,12043,12043,11845,11920,11920,9694,0.0
2023-05-10,11968,11998,11870,11940,11940,13923,0.0
2023-05-11,12008,12013,11920,11965,11965,4569,0.0
2023-05-12,11915,11973,11875,11945,11945,4393,0.0
2023-05-15,11925,11925,11810,11925,11925,7058,0.0
2023-05-16,12046,12046,11973,12028,12028,2567,0.0
2023-05-17,12013,12241,12013,12241,12241,17375,0.0
2023-05-18,12256,12271,12211,12271,12271,3595,0.0
2023-05-19,12344,12418,12304,12419,12419,10424,0.0
2023-05-22,12438,12546,12403,12533,12533,7663,0.0
2023-05-23,12558,12611,12558,12568,12568,2306,0.0
2023-05-24,12551,12551,12463,12528,12528,15096,0.0
2023-05-25,12572,12572,12424,12459,12459,5018,0.0
2023-05-26,12501,12511,12413,12468,12468,2035,0.0
2023-05-30,12591,12646,12546,12646,12646,5319,0.0
2023-05-31,12573,12651,12558,12578,12578,18046,0.0
2023-06-01,12543,12591,12503,12588,12588,4636,0.0
2023-06-02,12661,12731,12636,12731,12731,9144,0.0
2023-06-05,12813,12813,12725,12780,12780,4550,0.0
2023-06-07,12817,12837,12774,12794,12794,13470,0.0
2023-06-08,12768,12768,12680,12760,12760,6876,0.0
2023-06-09,12843,12928,12793,12928,12928,27945,0.0
2023-06-12,12961,12961,12749,12804,12804,5912,0.0
2023-06-13,12882,12882,12814,12869,12869,10806,0.0
2023-06-14,12902,12902,12641,12661,12661,9130,0.0
2023-06-15,12711,12814,12646,12751,12751,3632,0.0
2023-06-16,12789,12849,12749,12849,12849,5409,0.0
2023-06-19,12837,12837,12719,12809,12809,7888,0.0
2023-06-20,12804,12804,12686,12741,12741,7056,0.0
2023-06-21,12726,12726,12553,12583,12583,7350,0.0
2023-06-22,12513,12611,12513,12533,12533,12323,0.0
2023-06-23,12592,12592,12414,12459,12459,10088,0.0
2023-06-26,12418,12523,12364,12523,12523,5849,0.0
2023-06-27,12513,12521,12438,12518,12518,5392,0.0
2023-06-28,12586,12586,12380,12390,12390,6706,0.0
2023-06-29,12452,12487,12394,12419,12419,4541,0.0
2023-06-30,12418,12611,12369,12548,12548,2413,0.0
2023-07-03,12684,12814,12669,12814,12814,7145,0.0
2023-07-04,12824,12839,12716,12746,12746,12365,0.0
2023-07-05,12754,12789,12706,12731,12731,6316,0.0
2023-07-06,12729,12729,12523,12538,12538,15859,0.0
2023-07-07,12506,12541,12388,12483,12483,4114,0.0
2023-07-10,12483,12483,12315,12365,12365,5812,0.0
2023-07-11,12452,12626,12423,12626,12626,13849,0.0
2023-07-12,12644,12644,12571,12631,12631,4341,0.0
2023-07-13,12754,12824,12684,12824,12824,9196,0.0
2023-07-14,12837,12837,12724,12809,12809,26942,0.0
2023-07-17,12715,12788,12625,12765,12765,22859,0.0
2023-07-18,12808,12808,12710,12775,12775,15785,0.0
2023-07-19,12907,12912,12734,12844,12844,25369,0.0
2023-07-20,12788,12908,12715,12908,12908,5153,0.0
2023-07-21,12744,12854,12695,12854,12854,12909,0.0
2023-07-24,12848,12976,12705,12963,12963,19814,0.0
2023-07-25,13031,13074,12981,13061,13061,30315,0.0
2023-07-26,13080,13119,12468,12666,12666,12385,0.0
2023-07-27,12730,12803,12562,12612,12612,6867,0.0
2023-07-28,12615,12794,12556,12794,12794,5483,0.0
2023-07-31,12912,13050,12912,12977,12977,4890,0.0
2023-08-01,13086,13110,12922,13111,13111,11136,0.0
2023-08-02,13006,13056,12661,12701,12701,6098,0.0
2023-08-03,12674,12674,12398,12641,12641,5930,0.0
2023-08-04,12567,12610,12487,12597,12597,7590,0.0
2023-08-07,12551,12630,12443,12478,12478,6208,0.0
2023-08-08,12557,12557,12349,12434,12434,4300,0.0
2023-08-09,12439,12587,12434,12588,12588,2999,0.0
2023-08-10,12482,12482,12329,12429,12429,4999,0.0
2023-08-11,12443,12546,12428,12503,12503,6137,0.0
2023-08-14,12404,12429,12231,12316,12316,4073,0.0
2023-08-16,12245,12269,12003,12068,12068,7610,0.0
2023-08-17,11919,12073,11805,12073,12073,18002,0.0
2023-08-18,11919,12097,11855,12024,12024,1570,0.0
2023-08-21,12091,12136,12023,12078,12078,4042,0.0
2023-08-22,12215,12220,11988,12033,12033,3081,0.0
2023-08-23,12033,12097,11910,11950,11950,3764,0.0
2023-08-24,12168,12221,12118,12168,12168,3247,0.0
2023-08-25,11965,12038,11945,11985,11985,4677,0.0
2023-08-28,12093,12163,12043,12163,12163,1485,0.0
2023-08-29,12216,12284,12191,12251,12251,1248,0.0
2023-08-30,12443,12443,12350,12350,12350,1525,0.0
2023-08-31,12394,12547,12355,12548,12548,5016,0.0
2023-09-01,12596,12606,12498,12538,12538,8152,0.0
2023-09-04,12523,12592,12483,12593,12593,5949,0.0
2023-09-05,12586,12644,12526,12641,12641,3164,0.0
2023-09-06,12611,12611,12473,12508,12508,6221,0.0
2023-09-07,12448,12556,12418,12503,12503,6706,0.0
2023-09-08,12521,12526,12368,12488,12488,2595,0.0
2023-09-11,12551,12566,12373,12473,12473,5046,0.0
2023-09-12,12492,12492,12266,12266,12266,2631,0.0
2023-09-13,12265,12344,12117,12177,12177,2909,0.0
2023-09-14,12250,12538,12246,12538,12538,4747,0.0
2023-09-15,12508,12532,12418,12533,12533,2829,0.0
2023-09-18,12319,12394,12221,12301,12301,4272,0.0
2023-09-19,12311,12311,12143,12168,12168,1371,0.0
