Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2018-04-23,35205,35280,35110,35250,35250,219464,0.0
2018-04-24,35290,35295,34875,35055,35055,145660,0.0
2018-04-25,34785,34855,34640,34815,34815,111157,0.0
2018-04-26,34960,35370,34925,35250,35250,181548,0.0
2018-04-27,35650,35805,35465,35555,35555,106418,0.0
2018-04-30,35735,35910,35630,35910,35910,85136,0.0
2018-05-02,35735,35735,35480,35590,35590,87211,0.0
2018-05-03,35440,35510,35295,35500,35500,129116,0.0
2018-05-04,35390,35415,35145,35145,35145,147493,0.0
2018-05-08,35320,35360,34930,34975,34975,187723,0.0
2018-05-09,35000,35020,34690,34915,34915,213433,0.0
2018-05-10,35085,35150,34970,35115,35115,162707,0.0
2018-05-11,35275,35440,35240,35335,35335,142405,0.0
2018-05-14,35395,35415,35180,35245,35245,155301,0.0
2018-05-15,35235,35270,34865,34930,34930,207602,0.0
2018-05-16,34820,35105,34780,35045,35045,141332,0.0
2018-05-17,35175,35230,34885,34910,34910,139704,0.0
2018-05-18,34930,35010,34885,34990,34990,149174,0.0
2018-05-21,35020,35165,34770,35075,35075,143949,0.0
2018-05-23,35060,35330,35025,35300,35300,136047,0.0
2018-05-24,35380,35380,35095,35205,35205,150603,0.0
2018-05-25,35055,35335,35035,35260,35260,188238,0.0
2018-05-28,35355,35440,35325,35405,35405,95994,0.0
2018-05-29,35325,35380,35075,35075,35075,156966,0.0
2018-05-30,34940,34940,34110,34295,34295,187962,0.0
2018-05-31,34485,34545,34340,34530,34530,209943,0.0
2018-06-01,34510,34810,34355,34670,34670,179704,0.0
2018-06-04,34755,34930,34705,34870,34870,92864,0.0
2018-06-05,34885,34975,34655,34975,34975,82921,0.0
2018-06-07,35110,35365,35110,35250,35250,87914,0.0
2018-06-08,35180,35180,34880,34910,34910,106019,0.0
2018-06-11,34965,35195,34880,35195,35195,101874,0.0
2018-06-12,35300,35355,35120,35170,35170,92742,0.0
2018-06-14,35100,35100,34480,34505,34505,94178,0.0
2018-06-15,34610,34695,34315,34315,34315,112485,0.0
2018-06-18,34295,34295,33780,33935,33935,111989,0.0
2018-06-19,33890,33945,33405,33485,33485,115191,0.0
2018-06-20,33570,33935,33545,33740,33740,89188,0.0
2018-06-21,33750,33840,33425,33440,33440,84339,0.0
2018-06-22,33175,33700,33155,33700,33700,128787,0.0
2018-06-25,33660,33735,33375,33715,33715,129580,0.0
2018-06-26,33350,33710,33275,33640,33640,140748,0.0
2018-06-27,33590,33730,33510,33570,33570,127607,0.0
2018-06-28,33405,33490,33155,33220,33220,108554,0.0
2018-06-29,33345,33425,32930,33425,33425,129928,0.0
2018-07-02,33305,33340,32575,32580,32580,117904,0.0
2018-07-03,32820,32820,32390,32610,32610,59344,0.0
2018-07-04,32625,32745,32485,32540,32540,69957,0.0
2018-07-05,32535,32640,32265,32440,32440,76678,0.0
2018-07-06,32560,32795,32290,32650,32650,71054,0.0
2018-07-09,32700,33025,32575,32905,32905,61991,0.0
2018-07-10,33070,33130,32945,32955,32955,80638,0.0
2018-07-11,32745,32835,32445,32765,32765,89914,0.0
2018-07-12,32810,33015,32690,32860,32860,57920,0.0
2018-07-13,33015,33285,33015,33200,33200,57309,0.0
2018-07-16,33210,33300,33065,33085,33085,58318,0.0
2018-07-17,33105,33175,32910,33055,33055,66556,0.0
2018-07-18,33295,33380,32955,32985,32985,67241,0.0
2018-07-19,33105,33145,32875,32905,32905,61747,0.0
2018-07-20,32960,33095,32740,33050,33050,76112,0.0
2018-07-23,33025,33025,32730,32800,32800,168807,0.0
2018-07-24,32825,32940,32690,32895,32895,449358,0.0
2018-07-25,33065,33085,32795,32835,32835,308813,0.0
2018-07-26,33050,33185,32875,33040,33040,564867,0.0
2018-07-27,33040,33140,33000,33140,33140,385335,0.0
2018-07-30,33075,33150,32955,33065,33065,268026,0.0
2018-07-31,33090,33180,32975,33180,33180,315630,0.0
2018-08-01,33180,33355,33155,33240,33240,445008,0.0
2018-08-02,33215,33215,32595,32650,32650,186418,0.0
2018-08-03,32765,32900,32650,32875,32875,173253,0.0
2018-08-06,33005,33075,32850,32875,32875,186180,0.0
2018-08-07,32900,33075,32755,33070,33070,182595,0.0
2018-08-08,33165,33190,33040,33070,33070,183658,0.0
2018-08-09,33050,33110,32915,33075,33075,185730,0.0
2018-08-10,32975,32975,32630,32690,32690,186785,0.0
2018-08-13,32490,32495,32100,32275,32275,199072,0.0
2018-08-14,32320,32470,32260,32430,32430,266460,0.0
2018-08-16,31960,32125,31800,32085,32085,171191,0.0
2018-08-17,32060,32180,32060,32095,32095,168287,0.0
2018-08-20,32345,32360,32080,32145,32145,61287,0.0
2018-08-21,32085,32515,32085,32475,32475,96358,0.0
2018-08-22,32490,32680,32475,32615,32615,59016,0.0
2018-08-23,32715,32745,32565,32745,32745,46901,0.0
2018-08-24,32630,32915,32555,32875,32875,43577,0.0
2018-08-27,33000,33075,32885,33035,33035,31498,0.0
2018-08-28,33170,33250,33045,33060,33060,42565,0.0
2018-08-29,33085,33175,33040,33140,33140,44772,0.0
2018-08-30,33150,33350,33075,33185,33185,33827,0.0
2018-08-31,33000,33425,32970,33425,33425,8294,0.0
2018-09-03,33225,33270,33055,33105,33105,23611,0.0
2018-09-04,33105,33275,33040,33245,33245,10828,0.0
2018-09-05,33125,33185,32775,32825,32825,22349,0.0
2018-09-06,32790,32900,32695,32755,32755,29360,0.0
2018-09-07,32545,32700,32365,32610,32610,86663,0.0
2018-09-10,32560,32710,32560,32675,32675,28357,0.0
2018-09-11,32645,32780,32480,32560,32560,30568,0.0
2018-09-12,32645,32645,32390,32550,32550,40906,0.0
2018-09-13,32500,32625,32495,32570,32570,6133,0.0
2018-09-14,32910,33075,32905,33060,33060,15077,0.0
2018-09-17,32970,32985,32740,32825,32825,1993,0.0
2018-09-18,32620,32980,32600,32980,32980,13106,0.0
2018-09-19,33070,33070,32865,33005,33005,12128,0.0
2018-09-20,33080,33440,33070,33320,33320,6603,0.0
2018-09-21,33410,33455,33290,33455,33455,8505,0.0
2018-09-27,33435,33755,33430,33720,33720,25539,0.0
2018-09-28,33745,33745,33480,33565,33565,5845,0.0
2018-10-01,33580,33580,33370,33460,33460,1344,0.0
2018-10-02,33430,33525,33045,33060,33060,3039,0.0
2018-10-04,33060,33060,32495,32535,32535,4107,0.0
2018-10-05,32505,34940,32290,32510,32510,116067,0.0
2018-10-08,32380,32555,32350,32350,32350,5699,0.0
2018-10-10,32420,32420,32030,32130,32130,12193,0.0
2018-10-11,31340,31510,30760,30785,30785,29402,0.0
2018-10-12,30765,31330,30760,31130,31130,39013,0.0
2018-10-15,31025,31090,30850,30930,30930,21725,0.0
2018-10-16,31085,31125,30825,30875,30875,43519,0.0
2018-10-17,31260,31435,31145,31250,31250,2213,0.0
2018-10-18,31125,31230,30950,30970,30970,41055,0.0
2018-10-19,30735,31115,30575,31090,31090,38235,0.0
2018-10-22,30880,31230,30820,31155,31155,15831,0.0
2018-10-23,30940,30950,30250,30435,30435,96677,0.0
2018-10-24,30640,30640,30250,30310,30310,93992,0.0
2018-10-25,29635,29820,29385,29820,29820,115763,0.0
2018-10-26,29850,29850,29070,29340,29340,150364,0.0
2018-10-29,29480,29595,29030,29055,29055,32667,0.0
2018-10-30,28955,29515,28955,29280,29280,7425,0.0
2018-10-31,29360,29485,29140,29485,29485,37562,0.0
2018-11-01,29455,29790,29290,29290,29290,39847,0.0
2018-11-02,29675,30420,29655,30395,30395,19325,0.0
2018-11-05,30185,30185,29755,30095,30095,1650,0.0
2018-11-06,30245,30310,29975,30265,30265,2738,0.0
2018-11-07,30260,30530,30075,30130,30130,8406,0.0
2018-11-08,30645,30785,30395,30395,30395,7074,0.0
2018-11-09,30370,30475,30195,30215,30215,7803,0.0
2018-11-12,29960,30330,29960,30280,30280,2329,0.0
2018-11-13,29810,30050,29515,30045,30045,263240,0.0
2018-11-14,30040,30090,29880,29990,29990,191287,0.0
