Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2022-08-26,9771,9771,9732,9742,9742,219598,0.0
2022-08-29,9698,9757,9693,9752,9752,210181,0.0
2022-08-30,9737,9752,9708,9742,9742,12984,0.0
2022-08-31,9727,9737,9659,9659,9659,5161,0.0
2022-09-01,9693,9713,9639,9713,9713,2438,0.0
2022-09-02,9718,9766,9718,9761,9761,5984,0.0
2022-09-05,9801,9854,9766,9845,9845,5247,0.0
2022-09-06,9815,9864,9810,9854,9854,1039,0.0
2022-09-07,9884,9923,9859,9903,9903,1994,0.0
2022-09-08,10050,10050,9928,9942,9942,5910,0.0
2022-09-13,9991,10006,9947,9986,9986,21681,0.0
2022-09-14,9962,9991,9947,9971,9971,4233,0.0
2022-09-15,10030,10030,9942,10001,10001,19745,0.0
2022-09-16,9976,9976,9898,9908,9908,3363,0.0
2022-09-19,9898,9913,9874,9913,9913,2415,0.0
2022-09-20,9913,9928,9913,9928,9928,1495,0.0
2022-09-21,9898,9928,9888,9928,9928,1507,0.0
2022-09-22,9918,9971,9888,9971,9971,10610,0.0
2022-09-23,9942,9947,9913,9942,9942,1874,0.0
2022-09-26,9991,10030,9942,10006,10006,1942,0.0
2022-09-27,10011,10011,9976,9976,9976,1246,0.0
2022-09-28,9971,10054,9971,10050,10050,1673,0.0
2022-09-29,10186,10186,10020,10098,10098,722,0.0
2022-09-30,10069,10069,9976,10001,10001,14853,0.0
2022-10-04,10015,10074,10015,10035,10035,11987,0.0
2022-10-05,10011,10050,9986,9986,9986,15755,0.0
2022-10-06,10030,10030,9898,9932,9932,11509,0.0
2022-10-07,9913,9957,9888,9952,9952,6433,0.0
2022-10-11,9967,10001,9957,10001,10001,4531,0.0
2022-10-12,9981,9996,9923,9937,9937,4680,0.0
2022-10-13,9937,9937,9898,9932,9932,553,0.0
2022-10-14,9986,10011,9976,10001,10001,6500,0.0
2022-10-17,10035,10035,9971,9996,9996,3523,0.0
2022-10-18,10059,10059,9981,9981,9981,6956,0.0
2022-10-19,10030,10045,9962,10040,10040,4650,0.0
2022-10-20,10001,10030,10001,10020,10020,418,0.0
2022-10-21,10040,10064,9766,10064,10064,2503,0.0
2022-10-24,10113,10162,10079,10152,10152,5222,0.0
2022-10-25,10172,10177,10128,10128,10128,707,0.0
2022-10-26,10118,10138,10089,10094,10094,1229,0.0
2022-10-27,10050,10089,10030,10069,10069,2907,0.0
