Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2021-04-09,10025,10035,9965,9985,9985,3112959,0.0
2021-04-12,10060,10150,10035,10150,10150,1620016,0.0
2021-04-13,10150,10150,10090,10090,10090,1091204,0.0
2021-04-14,10250,10250,10175,10185,10185,1079896,0.0
2021-04-15,10020,10035,9990,10030,10030,1257291,0.0
2021-04-16,10195,10195,10130,10155,10155,941405,0.0
2021-04-19,10170,10205,10135,10185,10185,1639048,0.0
2021-04-20,10105,10120,10060,10080,10080,1752027,0.0
2021-04-21,10015,10015,9965,9990,9990,785313,0.0
2021-04-22,10065,10095,10040,10095,10095,514111,0.0
2021-04-23,9980,9980,9925,9935,9935,1033531,0.0
2021-04-26,10025,10060,10000,10020,10020,744645,0.0
2021-04-27,10055,10095,10045,10095,10095,837988,0.0
2021-04-28,10055,10065,10030,10050,10050,376632,0.0
2021-04-29,10070,10100,10045,10085,10085,966751,0.0
2021-04-30,10030,10040,10000,10040,10040,676650,0.0
2021-05-03,10060,10130,10055,10115,10115,810895,0.0
2021-05-04,10075,10075,9990,10045,10045,672396,0.0
2021-05-06,9851,9851,9796,9841,9841,1051615,0.0
2021-05-07,9895,9935,9885,9905,9905,1163600,0.0
2021-05-10,9915,9930,9861,9861,9861,464812,0.0
2021-05-11,9571,9586,9491,9556,9556,785161,0.0
2021-05-12,9596,9626,9521,9596,9596,511976,0.0
2021-05-13,9387,9476,9377,9462,9462,551289,0.0
2021-05-14,9481,9581,9481,9566,9566,300089,0.0
2021-05-17,9726,9761,9651,9736,9736,300555,0.0
2021-05-18,9751,9786,9721,9776,9776,483221,0.0
2021-05-20,9641,9651,9581,9651,9651,267796,0.0
2021-05-21,9806,9811,9746,9766,9766,199162,0.0
2021-05-24,9681,9716,9661,9686,9686,281162,0.0
2021-05-25,9866,9910,9841,9890,9890,337031,0.0
2021-05-26,9900,9910,9831,9846,9846,263693,0.0
2021-05-27,9856,9866,9811,9836,9836,450196,0.0
2021-05-28,9836,9841,9801,9801,9801,215505,0.0
2021-05-31,9791,9801,9746,9751,9751,409712,0.0
2021-06-01,9776,9776,9686,9701,9701,385061,0.0
2021-06-02,9701,9741,9681,9731,9731,347020,0.0
2021-06-03,9761,9776,9746,9766,9766,227007,0.0
2021-06-04,9651,9671,9636,9651,9651,354079,0.0
2021-06-07,9791,9806,9766,9776,9776,273402,0.0
2021-06-08,9851,9885,9826,9876,9876,426789,0.0
2021-06-09,9895,9920,9885,9895,9895,279034,0.0
2021-06-10,9895,9920,9885,9900,9900,269686,0.0
2021-06-11,9950,9990,9950,9970,9970,506544,0.0
2021-06-14,10005,10075,10005,10065,10065,562205,0.0
2021-06-15,10145,10210,10145,10195,10195,655066,0.0
2021-06-16,10125,10145,10120,10130,10130,445125,0.0
2021-06-17,10135,10180,10115,10175,10175,463105,0.0
2021-06-18,10299,10459,10299,10434,10434,846366,0.0
2021-06-21,10389,10409,10329,10409,10409,1186654,0.0
2021-06-22,10419,10449,10384,10444,10444,573264,0.0
2021-06-23,10514,10619,10514,10619,10619,873811,0.0
2021-06-24,10609,10639,10589,10619,10619,883573,0.0
2021-06-25,10584,10584,10529,10554,10554,1005335,0.0
2021-06-28,10494,10539,10479,10529,10529,950411,0.0
2021-06-29,10629,10654,10614,10624,10624,616517,0.0
2021-06-30,10639,10718,10639,10689,10689,784262,0.0
2021-07-01,10674,10728,10664,10723,10723,591903,0.0
2021-07-02,10743,10748,10703,10748,10748,617615,0.0
2021-07-05,10833,10908,10833,10883,10883,870113,0.0
