Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2014-02-11,16378,16378,16378,16378,16378,210,0.0
2014-02-12,16563,16563,16526,16526,16526,88,0.0
2014-02-13,16410,16473,16378,16378,16378,302,0.0
2014-02-14,16540,16540,16413,16436,16436,833,0.0
2014-02-17,16350,16350,16350,16350,16350,0,0.0
2014-02-18,16369,16468,16345,16451,16451,6893,0.0
2014-02-19,16456,16599,16407,16526,16526,231,0.0
2014-02-20,16526,16526,16360,16360,16360,50,0.0
2014-02-21,16526,16661,16526,16661,16661,15135,0.0
2014-02-24,16568,16602,16526,16535,16535,3059,0.0
2014-02-25,16508,16573,16499,16573,16573,44859,0.0
2014-02-26,16657,16735,16624,16698,16698,37379,0.0
2014-02-27,16752,16752,16535,16535,16535,26757,0.0
2014-02-28,16582,16582,16577,16577,16577,213635,0.0
2014-03-03,16446,16553,16392,16473,16473,204254,0.0
2014-03-04,16573,16573,16563,16563,16563,189,0.0
2014-03-05,16707,16735,16702,16715,16715,343,0.0
2014-03-06,16693,16715,16693,16715,16715,6,0.0
2014-03-07,16780,16857,16735,16766,16766,3037,0.0
2014-03-10,16725,16815,16624,16624,16624,62373,0.0
2014-03-11,16684,16684,16684,16684,16684,149853,0.0
2014-03-12,16544,16544,16540,16540,16540,12,0.0
2014-03-13,16441,16702,16441,16612,16612,54844,0.0
2014-03-14,16540,16540,16488,16488,16488,531,0.0
2014-03-17,16278,16278,16278,16278,16278,0,0.0
2014-03-18,16325,16325,16278,16278,16278,4267,0.0
2014-03-19,16397,16459,16325,16459,16459,43690,0.0
2014-03-20,16428,16446,16335,16383,16383,535,0.0
2014-03-21,16602,16649,16602,16649,16649,600,0.0
2014-03-24,16595,16634,16504,16616,16616,68635,0.0
2014-03-25,16446,16451,16283,16297,16297,12939,0.0
2014-03-26,16410,16553,16360,16553,16553,46,0.0
2014-03-27,16418,16436,16283,16402,16402,32236,0.0
2014-03-28,16517,16522,16459,16459,16459,372,0.0
2014-03-31,16360,16360,16335,16335,16335,11,0.0
2014-04-01,16540,16739,16540,16725,16725,22522,0.0
2014-04-02,16867,16883,16798,16883,16883,32,0.0
2014-04-03,16811,16909,16793,16867,16867,979,0.0
2014-04-04,16974,16992,16900,16909,16909,4790,0.0
2014-04-07,16752,16857,16752,16834,16834,2376,0.0
2014-04-08,16857,16857,16775,16811,16811,291610,0.0
2014-04-09,16839,16862,16679,16752,16752,2031,0.0
2014-04-10,16756,16811,16756,16811,16811,61,0.0
2014-04-11,16629,16725,16620,16698,16698,289,0.0
2014-04-14,16766,16766,16743,16743,16743,215,0.0
2014-04-15,16890,16900,16890,16900,16900,20,0.0
2014-04-16,16793,16848,16793,16824,16824,174,0.0
2014-04-17,16876,16883,16679,16693,16693,1098,0.0
2014-04-18,16909,17310,16909,17232,17232,22966,0.0
2014-04-21,17306,17306,17220,17251,17251,162,0.0
2014-04-22,17301,17310,17216,17306,17306,2299,0.0
2014-04-23,17421,17477,17406,17456,17456,3648,0.0
2014-04-24,17516,17516,17292,17338,17338,26819,0.0
2014-04-25,17324,17338,17161,17165,17165,2825,0.0
2014-04-28,17023,17132,16979,17070,17070,174999,0.0
2014-04-29,16974,16974,16876,16928,16928,4267,0.0
2014-04-30,17147,17173,16960,17032,17032,3708,0.0
2014-05-02,16974,16992,16872,16886,16886,1170,0.0
2014-05-07,16862,16872,16688,16697,16697,11371,0.0
2014-05-08,16530,16530,16530,16530,16530,20,0.0
2014-05-09,16611,16648,16503,16611,16611,4312,0.0
2014-05-12,16611,16931,16611,16847,16847,10773,0.0
2014-05-13,17079,17137,17079,17102,17102,555,0.0
2014-05-14,17187,17187,17102,17182,17182,1617,0.0
2014-05-15,17115,17115,17027,17027,17027,1085,0.0
2014-05-16,16987,17061,16890,17001,17001,2019,0.0
2014-05-19,16880,16951,16793,16828,16828,75986,0.0
2014-05-20,16983,16983,16914,16923,16923,827,0.0
2014-05-21,16951,16992,16900,16900,16900,3157,0.0
2014-05-22,17102,17102,16936,16936,16936,579,0.0
2014-05-23,16992,17015,16964,17015,17015,5063,0.0
2014-05-26,17120,17142,17102,17142,17142,493,0.0
2014-05-27,17120,17120,16964,17075,17075,298,0.0
2014-05-28,17151,17274,17151,17274,17274,101752,0.0
2014-05-29,17343,17390,17329,17329,17329,216,0.0
2014-05-30,17390,17390,17241,17251,17251,1084,0.0
2014-06-02,17220,17220,17216,17216,17216,10,0.0
2014-06-03,17426,17426,17201,17206,17206,13944,0.0
2014-06-05,17237,17269,17120,17147,17147,1315,0.0
2014-06-09,17211,17211,17061,17061,17061,936,0.0
2014-06-10,17201,17398,17196,17398,17398,18,0.0
2014-06-11,17407,17407,17298,17298,17298,1591,0.0
2014-06-12,17421,17421,17211,17211,17211,1181,0.0
2014-06-13,17211,17211,17102,17102,17102,2,0.0
2014-06-16,17357,17357,17320,17320,17320,112,0.0
2014-06-17,17483,17608,17471,17585,17585,133652,0.0
2014-06-18,17539,17618,17493,17513,17513,634933,0.0
2014-06-19,17521,17552,17478,17521,17521,1362,0.0
2014-06-20,17503,17503,17228,17228,17228,43590,0.0
2014-06-23,17334,17334,17079,17102,17102,1158,0.0
2014-06-24,17129,17278,17066,17241,17241,3397,0.0
2014-06-25,17165,17196,17142,17142,17142,1408,0.0
2014-06-26,17142,17142,16890,16914,16914,3346,0.0
2014-06-27,16914,16914,16793,16793,16793,800,0.0
2014-06-30,16852,17032,16852,16900,16900,2183,0.0
2014-07-01,17093,17269,17047,17269,17269,30,0.0
2014-07-02,17412,17552,17366,17462,17462,4064,0.0
2014-07-03,17548,17608,17498,17598,17598,3134,0.0
2014-07-04,17436,17478,17421,17421,17421,13881,0.0
2014-07-07,17452,17452,17452,17452,17452,1384,0.0
2014-07-08,17539,17565,17539,17565,17565,2,0.0
2014-07-09,17561,17561,17539,17552,17552,3658,0.0
2014-07-10,17552,17575,17521,17521,17521,449,0.0
2014-07-11,17293,17293,17283,17283,17283,4,0.0
2014-07-14,17320,17320,17320,17320,17320,177,0.0
2014-07-15,17517,17517,17517,17517,17517,102,0.0
2014-07-16,17517,17517,17478,17478,17478,39,0.0
2014-07-17,17650,17650,17650,17650,17650,1596,0.0
2014-07-18,17446,17565,17446,17493,17493,246096,0.0
2014-07-21,17674,17674,17544,17544,17544,3458,0.0
2014-07-22,17580,17674,17521,17660,17660,130318,0.0
2014-07-23,17737,17737,17478,17478,17478,21575,0.0
2014-07-24,17565,17565,17348,17348,17348,151,0.0
2014-07-25,17211,17211,17211,17211,17211,74,0.0
2014-07-28,17165,17165,17037,17037,17037,2216,0.0
2014-07-29,16883,16883,16572,16585,16585,179798,0.0
2014-07-30,16697,16818,16668,16793,16793,296,0.0
2014-07-31,16445,16503,16066,16181,16181,241756,0.0
2014-08-01,15889,16316,15889,16213,16213,85795,0.0
2014-08-04,16252,16576,16252,16572,16572,1361,0.0
2014-08-05,16539,16539,16421,16421,16421,657,0.0
2014-08-06,16290,16290,16005,16047,16047,10945,0.0
2014-08-07,16099,16099,16037,16037,16037,1150,0.0
2014-08-08,15968,15968,15685,15690,15690,1301,0.0
2014-08-11,16002,16002,15885,15885,15885,11790,0.0
2014-08-12,16010,16066,15760,15832,15832,92711,0.0
2014-08-13,15984,16005,15913,15951,15951,373,0.0
2014-08-14,16158,16158,16002,16002,16002,18485,0.0
2014-08-18,16201,16201,16085,16085,16085,464,0.0
2014-08-19,16129,16129,15936,15936,15936,36446,0.0
2014-08-20,16111,16176,16029,16158,16158,7286,0.0
2014-08-21,16242,16372,16218,16218,16218,283,0.0
2014-08-22,16372,16372,16276,16276,16276,65,0.0
2014-08-25,16304,16395,16261,16395,16395,687,0.0
2014-08-26,16252,16286,16213,16252,16252,832,0.0
2014-08-27,16235,16239,16148,16239,16239,852,0.0
2014-08-28,16239,16304,16209,16213,16213,37580,0.0
2014-08-29,16213,16304,16171,16304,16304,544,0.0
2014-09-01,16134,16134,16090,16090,16090,80,0.0
2014-09-02,16107,16107,15913,15917,15917,162,0.0
2014-09-03,15854,15854,15516,15521,15521,101039,0.0
2014-09-04,15675,15720,15675,15720,15720,42,0.0
2014-09-05,15747,15805,15747,15805,15805,64108,0.0
2014-09-11,16120,16120,15977,15977,15977,193,0.0
2014-09-12,16052,16085,15932,16085,16085,47,0.0
2014-09-15,15894,15894,15797,15797,15797,271,0.0
2014-09-16,15739,15894,15739,15817,15817,64311,0.0
2014-09-17,15885,16005,15885,16005,16005,23,0.0
2014-09-18,15972,15984,15827,15845,15845,274,0.0
2014-09-19,15922,15922,15904,15904,15904,723,0.0
2014-09-22,15899,15899,15643,15662,15662,170,0.0
2014-09-23,15616,15667,15451,15451,15451,721,0.0
2014-09-24,15411,15516,15411,15516,15516,11,0.0
2014-09-25,15712,15712,15598,15598,15598,224,0.0
2014-09-26,15530,15700,15530,15700,15700,101,0.0
2014-09-29,15774,15850,15774,15845,15845,114,0.0
2014-09-30,15703,15703,15503,15589,15589,103,0.0
2014-10-01,15533,15533,15263,15263,15263,28,0.0
2014-10-02,15249,15340,15249,15330,15330,10678,0.0
2014-10-06,15335,15443,15335,15420,15420,68,0.0
2014-10-07,15473,15473,15335,15433,15433,13,0.0
2014-10-08,15433,15433,15433,15433,15433,1,0.0
2014-10-10,15340,15340,15294,15294,15294,5,0.0
2014-10-13,14856,14856,14773,14773,14773,121,0.0
2014-10-14,14828,15180,14828,15163,15163,154888,0.0
2014-10-15,15249,15249,15249,15249,15249,107026,0.0
2014-10-16,14927,15021,14927,15021,15021,211,0.0
2014-10-17,15085,15085,14746,14750,14750,178,0.0
2014-10-20,15003,15003,15003,15003,15003,0,0.0
2014-10-21,15153,15153,15153,15153,15153,27,0.0
2014-10-22,15366,15521,15267,15464,15464,376176,0.0
2014-10-23,15464,15464,15464,15464,15464,209,0.0
2014-10-24,15275,15275,15258,15258,15258,5,0.0
2014-10-27,15163,15163,15163,15163,15163,0,0.0
2014-10-28,15225,15245,15143,15245,15245,408365,0.0
2014-10-29,15348,15348,15348,15348,15348,12,0.0
2014-10-30,15707,15707,15707,15707,15707,0,0.0
2014-10-31,15999,16067,15999,16067,16067,2,0.0
2014-11-03,15905,15905,15867,15867,15867,7471,0.0
2014-11-04,15793,15822,15575,15598,15598,6812,0.0
2014-11-05,15606,15685,15606,15616,15616,35,0.0
2014-11-06,15675,15675,15675,15675,15675,1,0.0
2014-11-07,15700,15770,15680,15744,15744,2293,0.0
2014-11-10,15995,16053,15909,16053,16053,432,0.0
2014-11-11,16053,16053,16053,16053,16053,0,0.0
