Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2024-11-26,9812,9852,9773,9827,9827,3442863,0.0
2024-11-27,9738,9748,9699,9714,9714,1468080,0.0
2024-11-28,9599,9634,9579,9634,9634,711040,0.0
2024-11-29,9634,9649,9594,9634,9634,662601,0.0
2024-12-02,9787,9827,9778,9802,9802,1941410,0.0
2024-12-03,10151,10151,10096,10126,10126,2000335,0.0
2024-12-04,10291,10355,10276,10321,10321,2157887,0.0
2024-12-05,10564,10564,10494,10554,10554,2461435,0.0
2024-12-06,10439,10504,10404,10419,10419,2282069,0.0
2024-12-09,10544,10579,10499,10559,10559,1980523,0.0
2024-12-10,10375,10375,10316,10335,10335,1672828,0.0
2024-12-11,10161,10161,10096,10126,10126,1653710,0.0
2024-12-12,10395,10419,10365,10395,10395,1573521,0.0
2024-12-13,10499,10634,10499,10609,10609,1750233,0.0
2024-12-16,10903,10917,10804,10854,10854,2597440,0.0
2024-12-17,11071,11076,11021,11056,11056,2010103,0.0
2024-12-18,10893,10898,10844,10888,10888,1958335,0.0
2024-12-19,10524,10644,10514,10599,10599,2255994,0.0
2024-12-20,10514,10514,10409,10449,10449,1859186,0.0
2024-12-23,10674,10814,10649,10814,10814,859698,0.0
2024-12-24,11076,11076,10961,11066,11066,799455,0.0
2024-12-26,11306,11306,11206,11266,11266,1073936,0.0
2024-12-27,11266,11376,11191,11216,11216,899595,0.0
2024-12-30,11141,11231,11101,11161,11161,465304,0.0
2025-01-02,11081,11081,10883,10927,10927,853134,0.0
2025-01-03,10941,11066,10941,11056,11056,672915,0.0
2025-01-06,11201,11441,11201,11396,11396,1211185,0.0
2025-01-07,11734,11734,11564,11584,11584,2254378,0.0
2025-01-08,11341,11381,11226,11381,11381,938025,0.0
2025-01-09,11266,11291,11151,11276,11276,1736018,0.0
2025-01-10,11231,11271,11131,11251,11251,733266,0.0
2025-01-13,11111,11151,10996,11036,11036,574487,0.0
2025-01-14,11021,11076,10946,11066,11066,2403133,0.0
2025-01-15,11066,11066,10941,10941,10941,682316,0.0
2025-01-16,11191,11241,11126,11241,11241,1711128,0.0
2025-01-17,11251,11356,11231,11296,11296,1645092,0.0
2025-01-20,11511,11555,11356,11366,11366,681999,0.0
2025-01-21,11371,11401,11191,11351,11351,1209890,0.0
2025-01-22,11536,11644,11496,11639,11639,2972129,0.0
2025-01-23,11827,11827,11739,11793,11793,1557987,0.0
2025-01-24,11734,11749,11639,11679,11679,2578934,0.0
2025-01-31,10839,11011,10824,10991,10991,3953980,0.0
2025-02-03,10699,10779,10589,10604,10604,1442555,0.0
2025-02-04,10804,10873,10719,10794,10794,1089323,0.0
2025-02-05,10898,10941,10809,10809,10809,869917,0.0
2025-02-06,11021,11106,11016,11081,11081,980676,0.0
2025-02-07,11156,11196,11111,11111,11111,948113,0.0
2025-02-10,11076,11086,11036,11056,11056,656501,0.0
2025-02-11,11156,11231,11156,11206,11206,658414,0.0
2025-02-12,11251,11261,11206,11221,11221,378534,0.0
2025-02-13,11166,11211,11106,11141,11141,590321,0.0
2025-02-14,11166,11226,11136,11176,11176,2509087,0.0
2025-02-17,11146,11176,11096,11166,11166,362038,0.0
2025-02-18,11166,11191,11096,11171,11171,771486,0.0
2025-02-19,11171,11171,11096,11096,11096,459357,0.0
2025-02-20,11096,11096,10981,11006,11006,375460,0.0
2025-02-21,11006,11006,10941,10966,10966,231286,0.0
2025-02-24,10654,10794,10644,10709,10709,623907,0.0
2025-02-25,10464,10469,10151,10325,10325,499358,0.0
2025-02-26,10116,10231,10057,10231,10231,512783,0.0
2025-02-27,10375,10499,10375,10499,10499,654018,0.0
2025-02-28,9867,9977,9867,9972,9972,1617571,0.0
2025-03-04,9654,9674,9479,9654,9654,1013088,0.0
2025-03-05,9728,9887,9718,9887,9887,416246,0.0
2025-03-06,9902,9902,9659,9709,9709,752552,0.0
2025-03-07,9584,9654,9579,9609,9609,410004,0.0
2025-03-10,9674,9674,9509,9609,9609,453928,0.0
2025-03-11,9264,9294,9042,9264,9264,1520140,0.0
2025-03-12,9264,9329,9216,9304,9304,452839,0.0
2025-03-13,9624,9624,9399,9414,9414,426815,0.0
2025-03-14,9454,9599,9364,9549,9549,430821,0.0
2025-03-17,9733,9733,9599,9639,9639,336891,0.0
2025-03-18,9723,9723,9649,9714,9714,165794,0.0
2025-03-19,9559,9684,9554,9634,9634,174961,0.0
2025-03-20,9743,9902,9738,9857,9857,203758,0.0
2025-03-21,9857,9907,9768,9768,9768,266295,0.0
2025-03-24,9783,9902,9783,9892,9892,184803,0.0
2025-03-25,10266,10266,10002,10027,10027,169846,0.0
2025-03-26,10022,10022,9942,9942,9942,190639,0.0
2025-03-27,9634,9634,9529,9559,9559,851212,0.0
2025-03-28,9419,9419,9304,9344,9344,843266,0.0
2025-03-31,9116,9141,8967,9007,9007,295422,0.0
2025-04-01,9141,9141,9032,9082,9082,261902,0.0
2025-04-02,9166,9201,9116,9141,9141,125462,0.0
2025-04-03,8827,8907,8827,8872,8872,604824,0.0
2025-04-04,8454,8459,8190,8315,8315,772138,0.0
2025-04-07,7573,7603,7195,7235,7235,8297522,0.0
2025-04-08,8006,8215,7961,8120,8120,3059857,0.0
2025-04-09,7911,7956,7742,7877,7877,835539,0.0
2025-04-10,9022,9126,8937,9022,9022,1452656,0.0
2025-04-11,8608,8757,8315,8757,8757,555683,0.0
2025-04-14,8887,8967,8757,8912,8912,796165,0.0
2025-04-15,8757,8757,8608,8668,8668,648950,0.0
2025-04-16,8464,8533,8295,8325,8325,685992,0.0
2025-04-17,8270,8489,8265,8479,8479,665976,0.0
2025-04-18,8315,8340,8260,8315,8315,345561,0.0
2025-04-21,8300,8300,8100,8145,8145,288330,0.0
2025-04-22,8140,8140,8001,8056,8056,298258,0.0
2025-04-23,8360,8439,8352,8414,8414,616621,0.0
2025-04-24,8548,8588,8489,8543,8543,693682,0.0
2025-04-25,8922,9047,8912,9037,9037,596680,0.0
2025-04-28,9052,9126,9052,9107,9107,253575,0.0
2025-04-29,9102,9132,9052,9092,9092,437427,0.0
2025-04-30,9092,9092,8902,8937,8937,282666,0.0
2025-05-02,9107,9270,9057,9057,9057,1198278,0.0
2025-05-07,8992,9222,8992,9187,9187,575628,0.0
2025-05-08,9300,9375,9227,9355,9355,468842,0.0
2025-05-09,9355,9455,9345,9400,9400,471319,0.0
2025-05-12,9545,9655,9475,9655,9655,315814,0.0
2025-05-13,10143,10143,9924,9964,9964,601122,0.0
2025-05-14,10393,10497,10338,10497,10497,620153,0.0
2025-05-15,10512,10532,10363,10363,10363,571740,0.0
2025-05-16,10308,10363,10263,10283,10283,229494,0.0
2025-05-19,10213,10233,10059,10098,10098,454241,0.0
2025-05-20,10218,10308,10173,10188,10188,286674,0.0
2025-05-21,10223,10283,10148,10148,10148,291407,0.0
2025-05-22,9964,10148,9959,10029,10029,190890,0.0
2025-05-23,10073,10093,9959,9964,9964,285044,0.0
2025-05-26,9964,10014,9874,9949,9949,374560,0.0
2025-05-27,9949,10009,9934,10004,10004,305724,0.0
2025-05-28,10148,10238,10133,10218,10218,443670,0.0
2025-05-29,10398,10547,10378,10492,10492,1333865,0.0
2025-05-30,10163,10228,10078,10203,10203,370745,0.0
2025-06-02,10163,10163,9889,9904,9904,246214,0.0
2025-06-04,10368,10407,10345,10368,10368,684201,0.0
2025-06-05,10412,10412,10323,10348,10348,251430,0.0
2025-06-09,10358,10358,10228,10278,10278,264539,0.0
2025-06-10,10402,10562,10402,10537,10537,385696,0.0
